slang,formal
Jangan sokin dong ente,"Tolong jangan fokus, Anda"
"Aduh dah, you jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
"Aduh deck, lu ajib banget!","Astaga, saudara hebat sekali!"
Jangan troll dong ente,"Tolong jangan mengganggu, Anda"
"Aduh dah, loe jomblo banget!","Astaga, Anda tidak punya pasangan sekali!"
"Aduh deck, elo ambyar banget!","Astaga, kamu hancur sekali!"
Jangan block dong lu,"Tolong jangan blokir, kamu"
"Aduh njir, loe mager banget!","Astaga, kamu malas gerak sekali!"
"Aduh wkwk, lu santuy banget!","Astaga, Anda santai sekali!"
"Aduh waduh, ente lebay banget!","Astaga, Anda berlebihan sekali!"
kamu ghosting banget dah,Anda menghilang sekali
"Aduh anjir, lu gabut banget!","Astaga, saudara tidak produktif sekali!"
Jangan modus dong kamu,"Tolong jangan berpura-pura, kamu"
kamu tuh lebay banget sih,saudara benar-benar berlebihan
"Aduh waduh, you gabut banget!","Astaga, kamu tidak produktif sekali!"
"Aduh haha, you bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh haha, elo santuy banget!","Astaga, kamu santai sekali!"
"Aduh siap, ente alay banget!","Astaga, kamu norak sekali!"
"Aduh deck, ente gercep banget!","Astaga, saudara cepat sekali!"
elo block banget dah,kamu blokir sekali
ente tuh gemoy banget sih,Anda benar-benar menggemaskan
"Mabar yuk ente, gw block nih","Bermain bersama yuk saudara, saya blokir"
"Aduh deck, you galau banget!","Astaga, Anda sedih sekali!"
"Aduh siap, kamu ajib banget!","Astaga, kamu hebat sekali!"
Jangan jadian dong elo,"Tolong jangan berhubungan, kamu"
Jangan sokin dong kamu,"Tolong jangan fokus, kamu"
"Aduh waduh, loe ajib banget!","Astaga, kamu hebat sekali!"
"Aduh yhaa, lu bucin banget!","Astaga, Anda budak cinta sekali!"
"Mabar yuk kamu, gw ribut nih","Bermain bersama yuk kamu, saya berdebat"
"Aduh yhaa, kamu ngehe banget!","Astaga, Anda menjengkelkan sekali!"
lu tuh alay banget sih,kamu benar-benar norak
"Aduh waduh, ente jomblo banget!","Astaga, kamu tidak punya pasangan sekali!"
"Aduh waduh, elo lebay banget!","Astaga, Anda berlebihan sekali!"
"Aduh haha, lu santuy banget!","Astaga, saudara santai sekali!"
kamu tuh galau banget sih,kamu benar-benar sedih
elo japri banget dah,saudara kirim pesan pribadi sekali
